Date,Train-Test,Board,Board_Type,Wheel_Diameter,Wheel_Durometer,City_State,Route,Distance,Calories,Avg_HR,Max_HR,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Min_Temp,Number_of_Laps,Min_Elevation,Max_Elevation,Temp,Relative_Humidity,Wind_Speed
12/17/21 13:27,Train,,,,,"Ripon, WI",ripon_west_loop,9.59,556,134,166,10,17.3,230,292,46.4,2,812,920,17.96,71,6.9593552
12/18/21 14:52,Train,,,,,"Ripon, WI",ripon_west_loop,9.16,500,128,154,9.6,14.7,180,305,51.8,2,835,977,26.06,88,13.8565733
12/22/21 11:43,Train,,,,,"Ripon, WI",radio_road_to_carter,8.63,456,125,177,8.9,13.8,276,308,35.6,2,911,1005,10.94,77,9.1962908
2/10/22 15:00,Train,,,,,"Ripon, WI",ripon_west_partial,6.95,501,133,166,7.6,14.3,194,184,51.8,2,927,1001,21.92,65,10.3147586
2/15/22 15:33,Train,,,,,"Ripon, WI",ripon_in_town,3.67,271,136,162,8.1,13.7,112,108,64.4,1,969,1018,19.94,68,8.077823
2/17/22 15:17,Train,,,,,"Ripon, WI",ripon_west_partial,7.3,502,137,159,8.5,13.7,190,243,51.8,2,878,965,19.04,59,13.8565733
3/1/22 15:42,Train,,,,,"Ripon, WI",ripon_west_loop,9.97,545,128,158,9.3,15.8,299,322,59,2,826,915,37.04,64,8.077823
3/3/22 14:49,Train,,,,,"Ripon, WI",ripon_west_loop,10.01,448,118,151,9.7,14.8,374,328,39.2,3,915,1009,21.02,65,6.9593552
3/4/22 15:58,Train,,,,,"Ripon, WI",radio_road_to_carter,8.16,508,135,174,9.3,15,272,318,42.8,2,928,1036,28.94,41,6.9593552
3/16/22 11:38,Train,,,,,"Ripon, WI",ripon_west_partial,7.33,453,126,157,7.9,14.7,253,259,71.6,2,932,1011,33.98,92,10.3147586
3/17/22 9:10,Train,,,,,"Ripon, WI",ripon_west_loop,9.99,339,108,141,10.5,16.2,253,289,50,2,891,988,48.02,73,3.3554034
3/21/22 13:22,Train,,,,,"Ripon, WI",ripon_west_partial,8.06,462,128,164,9.1,18.9,226,348,68,2,776,949,46.04,58,6.9593552
